DMS_filename,DMS_id,first_author,year,selection_type,origin_coarse_bucket,property_tier,task_name,mutation_type
AMFR_HUMAN_Tsuboyama_2023_4G3O_indels.csv,AMFR_HUMAN_Tsuboyama_2023_4G3O_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
ARGR_ECOLI_Tsuboyama_2023_1AOY_indels.csv,ARGR_ECOLI_Tsuboyama_2023_1AOY_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
BBC1_YEAST_Tsuboyama_2023_1TG0_indels.csv,BBC1_YEAST_Tsuboyama_2023_1TG0_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
BCHB_CHLTE_Tsuboyama_2023_2KRU_indels.csv,BCHB_CHLTE_Tsuboyama_2023_2KRU_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
CATR_CHLRE_Tsuboyama_2023_2AMI_indels.csv,CATR_CHLRE_Tsuboyama_2023_2AMI_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
CBPA2_HUMAN_Tsuboyama_2023_1O6X_indels.csv,CBPA2_HUMAN_Tsuboyama_2023_1O6X_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
CBX4_HUMAN_Tsuboyama_2023_2K28_indels.csv,CBX4_HUMAN_Tsuboyama_2023_2K28_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
CSN4_MOUSE_Tsuboyama_2023_1UFM_indels.csv,CSN4_MOUSE_Tsuboyama_2023_1UFM_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
CUE1_YEAST_Tsuboyama_2023_2MYX_indels.csv,CUE1_YEAST_Tsuboyama_2023_2MYX_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
DN7A_SACS2_Tsuboyama_2023_1JIC_indels.csv,DN7A_SACS2_Tsuboyama_2023_1JIC_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
DNJA1_HUMAN_Tsuboyama_2023_2LO1_indels.csv,DNJA1_HUMAN_Tsuboyama_2023_2LO1_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
DOCK1_MOUSE_Tsuboyama_2023_2M0Y_indels.csv,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
EPHB2_HUMAN_Tsuboyama_2023_1F0M_indels.csv,EPHB2_HUMAN_Tsuboyama_2023_1F0M_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
FECA_ECOLI_Tsuboyama_2023_2D1U_indels.csv,FECA_ECOLI_Tsuboyama_2023_2D1U_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
HCP_LAMBD_Tsuboyama_2023_2L6Q_indels.csv,HCP_LAMBD_Tsuboyama_2023_2L6Q_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
HECD1_HUMAN_Tsuboyama_2023_3DKM_indels.csv,HECD1_HUMAN_Tsuboyama_2023_3DKM_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
ILF3_HUMAN_Tsuboyama_2023_2L33_indels.csv,ILF3_HUMAN_Tsuboyama_2023_2L33_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
MAFG_MOUSE_Tsuboyama_2023_1K1V_indels.csv,MAFG_MOUSE_Tsuboyama_2023_1K1V_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
MBD11_ARATH_Tsuboyama_2023_6ACV_indels.csv,MBD11_ARATH_Tsuboyama_2023_6ACV_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
MYO3_YEAST_Tsuboyama_2023_2BTT_indels.csv,MYO3_YEAST_Tsuboyama_2023_2BTT_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
NKX31_HUMAN_Tsuboyama_2023_2L9R_indels.csv,NKX31_HUMAN_Tsuboyama_2023_2L9R_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
NUSA_ECOLI_Tsuboyama_2023_1WCL_indels.csv,NUSA_ECOLI_Tsuboyama_2023_1WCL_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
NUSG_MYCTU_Tsuboyama_2023_2MI6_indels.csv,NUSG_MYCTU_Tsuboyama_2023_2MI6_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
OBSCN_HUMAN_Tsuboyama_2023_1V1C_indels.csv,OBSCN_HUMAN_Tsuboyama_2023_1V1C_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
ODP2_GEOSE_Tsuboyama_2023_1W4G_indels.csv,ODP2_GEOSE_Tsuboyama_2023_1W4G_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
OTU7A_HUMAN_Tsuboyama_2023_2L2D_indels.csv,OTU7A_HUMAN_Tsuboyama_2023_2L2D_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
PIN1_HUMAN_Tsuboyama_2023_1I6C_indels.csv,PIN1_HUMAN_Tsuboyama_2023_1I6C_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
PITX2_HUMAN_Tsuboyama_2023_2L7M_indels.csv,PITX2_HUMAN_Tsuboyama_2023_2L7M_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
PKN1_HUMAN_Tsuboyama_2023_1URF_indels.csv,PKN1_HUMAN_Tsuboyama_2023_1URF_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
POLG_PESV_Tsuboyama_2023_2MXD_indels.csv,POLG_PESV_Tsuboyama_2023_2MXD_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
PR40A_HUMAN_Tsuboyama_2023_1UZC_indels.csv,PR40A_HUMAN_Tsuboyama_2023_1UZC_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
PSAE_PICP2_Tsuboyama_2023_1PSE_indels.csv,PSAE_PICP2_Tsuboyama_2023_1PSE_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
RAD_ANTMA_Tsuboyama_2023_2CJJ_indels.csv,RAD_ANTMA_Tsuboyama_2023_2CJJ_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
RCD1_ARATH_Tsuboyama_2023_5OAO_indels.csv,RCD1_ARATH_Tsuboyama_2023_5OAO_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
RD23A_HUMAN_Tsuboyama_2023_1IFY_indels.csv,RD23A_HUMAN_Tsuboyama_2023_1IFY_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
RPC1_BP434_Tsuboyama_2023_1R69_indels.csv,RPC1_BP434_Tsuboyama_2023_1R69_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
RS15_GEOSE_Tsuboyama_2023_1A32_indels.csv,RS15_GEOSE_Tsuboyama_2023_1A32_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
SAV1_MOUSE_Tsuboyama_2023_2YSB_indels.csv,SAV1_MOUSE_Tsuboyama_2023_2YSB_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
SDA_BACSU_Tsuboyama_2023_1PV0_indels.csv,SDA_BACSU_Tsuboyama_2023_1PV0_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
SOX30_HUMAN_Tsuboyama_2023_7JJK_indels.csv,SOX30_HUMAN_Tsuboyama_2023_7JJK_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
SPG2_STRSG_Tsuboyama_2023_5UBS_indels.csv,SPG2_STRSG_Tsuboyama_2023_5UBS_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
SPTN1_CHICK_Tsuboyama_2023_1TUD_indels.csv,SPTN1_CHICK_Tsuboyama_2023_1TUD_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
SQSTM_MOUSE_Tsuboyama_2023_2RRU_indels.csv,SQSTM_MOUSE_Tsuboyama_2023_2RRU_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
SR43C_ARATH_Tsuboyama_2023_2N88_indels.csv,SR43C_ARATH_Tsuboyama_2023_2N88_indels,Tsuboyama,2023,cDNA display proteolysis,Stability,primary,folding_stability,indels
